iteration,episode,avg_score,best_score,best_avg_score
0,94,0.35251702127659573,1.9992,0.35251702127659573
1,195,0.4312080000000001,1.9992,0.4312080000000001
2,290,0.23057599999999998,1.9993,0.4312080000000001
3,387,0.3508640000000001,1.9993,0.4312080000000001
4,484,0.4109130000000001,1.9993,0.4312080000000001
5,584,0.43085600000000013,1.9993,0.4312080000000001
6,687,0.5915700000000002,1.9993,0.5915700000000002
7,793,0.5515540000000001,1.9993,0.5915700000000002
8,899,0.5315270000000001,1.9994,0.5915700000000002
9,999,0.5313150000000001,1.9994,0.5915700000000002
10,1110,0.8119210000000002,1.9994,0.8119210000000002
11,1218,0.8718469999999999,1.9994,0.8718469999999999
12,1323,0.6715139999999999,1.9994,0.8718469999999999
13,1432,0.6917929999999999,1.9994,0.8718469999999999
14,1542,0.8119719999999998,1.9994,0.8718469999999999
15,1654,0.7719529999999999,1.9994,0.8718469999999999
16,1777,1.032878,1.9994,1.032878
17,1890,0.771993,1.9994,1.032878
18,2011,0.9726490000000001,1.9995,1.032878
19,2131,0.992708,1.9995,1.032878
20,2257,1.0531549999999998,1.9995,1.0531549999999998
21,2392,1.2735180000000001,1.9995,1.2735180000000001
22,2537,1.4339490000000001,1.9995,1.4339490000000001
23,2686,1.4741270000000002,1.9995,1.4741270000000002
24,2842,1.6343390000000002,1.9995,1.6343390000000002
25,3014,1.694948,1.9995,1.694948
26,3191,1.654915,1.9996,1.694948
27,3411,1.855999,1.9996,1.855999
28,3642,1.856141,1.9996,1.856141
29,3872,1.8361069999999997,1.9996,1.856141
30,4119,1.9164950000000003,1.9996,1.9164950000000003
31,4407,1.9569709999999998,1.9996,1.9569709999999998
32,4708,1.9773910000000003,1.9997,1.9773910000000003
33,5045,1.9574039999999997,1.9997,1.9773910000000003
34,5420,1.9776449999999999,1.9997,1.9776449999999999
35,5807,1.977726,1.9997,1.977726
36,6209,1.997886,1.9997,1.997886
37,6635,1.9779809999999995,1.9997,1.997886
38,7082,1.9782050000000004,1.9997,1.997886
39,7520,1.9780149999999999,1.9997,1.997886
40,7989,1.9981129999999998,1.9997,1.9981129999999998
41,8478,1.99841,1.9997,1.99841
42,8993,1.9783839999999997,1.9997,1.99841
43,9498,1.998387,1.9997,1.99841
44,10025,1.9982229999999999,1.9997,1.99841
45,10597,1.998473,1.9997,1.998473
46,11187,1.9985939999999998,1.9997,1.9985939999999998
47,11768,1.978432,1.9997,1.9985939999999998
48,12369,1.998572,1.9997,1.9985939999999998
49,12990,1.998691,1.9997,1.998691
50,13616,1.9986199999999998,1.9997,1.998691
51,14238,1.9987059999999999,1.9997,1.9987059999999999
52,14868,1.998613,1.9997,1.9987059999999999
53,15523,1.9986260000000002,1.9997,1.9987059999999999
54,16186,1.9987319999999997,1.9997,1.9987319999999997
55,16837,1.998725,1.9997,1.9987319999999997
56,17513,1.998837,1.9997,1.998837
57,18179,1.9988350000000004,1.9997,1.998837
58,18870,1.9987469999999998,1.9997,1.998837
59,19565,1.9987799999999998,1.9997,1.998837
60,20261,1.998774,1.9997,1.998837
61,20963,1.998776,1.9997,1.998837
62,21664,1.998838,1.9997,1.998838
63,22362,1.99875,1.9997,1.998838
64,23092,1.9988600000000003,1.9997,1.9988600000000003
65,23830,1.9988230000000005,1.9997,1.9988600000000003
66,24569,1.9988940000000006,1.9997,1.9988940000000006
67,25275,1.9988550000000003,1.9997,1.9988940000000006
68,25992,1.998926,1.9997,1.998926
69,26722,1.998687,1.9997,1.998926
70,27444,1.998855,1.9997,1.998926
71,28194,1.998925,1.9997,1.998926
72,28953,1.9989510000000001,1.9997,1.9989510000000001
73,29701,1.9989259999999995,1.9997,1.9989510000000001
74,30465,1.9989320000000004,1.9997,1.9989510000000001
75,31199,1.998859,1.9997,1.9989510000000001
76,31948,1.9988789999999996,1.9997,1.9989510000000001
77,32684,1.998888,1.9997,1.9989510000000001
78,33454,1.9989610000000002,1.9997,1.9989610000000002
79,34211,1.9989750000000004,1.9997,1.9989750000000004
80,34979,1.998965,1.9997,1.9989750000000004
81,35730,1.998916,1.9997,1.9989750000000004
82,36515,1.999013,1.9997,1.999013
83,37298,1.9989690000000002,1.9997,1.999013
84,38069,1.998918,1.9997,1.999013
85,38835,1.9989130000000004,1.9997,1.999013
86,39586,1.9989360000000003,1.9997,1.999013
87,40342,1.9988880000000002,1.9997,1.999013
88,41127,1.9990649999999996,1.9997,1.9990649999999996
89,41908,1.9989100000000002,1.9997,1.9990649999999996
90,42694,1.9989630000000003,1.9997,1.9990649999999996
91,43479,1.9788970000000001,1.9997,1.9990649999999996
92,44270,1.9989579999999998,1.9997,1.9990649999999996
93,45050,1.9989379999999999,1.9997,1.9990649999999996
94,45839,1.99889,1.9997,1.9990649999999996
95,46640,1.998999,1.9997,1.9990649999999996
96,47430,1.9990660000000002,1.9997,1.9990660000000002
97,48191,1.9989510000000001,1.9997,1.9990660000000002
98,48979,1.9788520000000003,1.9997,1.9990660000000002
99,49771,1.9990050000000001,1.9997,1.9990660000000002
100,50557,1.998974,1.9997,1.9990660000000002
101,51357,1.9989799999999998,1.9997,1.9990660000000002
102,52171,1.9989109999999997,1.9997,1.9990660000000002
103,52961,1.9989720000000002,1.9997,1.9990660000000002
104,53762,1.9990370000000002,1.9997,1.9990660000000002
105,54556,1.998887,1.9997,1.9990660000000002
106,55375,1.999048,1.9997,1.9990660000000002
107,56187,1.9989829999999997,1.9997,1.9990660000000002
108,56987,1.99896,1.9997,1.9990660000000002
109,57800,1.999,1.9997,1.9990660000000002
110,58615,1.9989909999999997,1.9997,1.9990660000000002
111,59419,1.999017,1.9997,1.9990660000000002
112,60191,1.9990400000000002,1.9997,1.9990660000000002
113,60979,1.9787709999999998,1.9997,1.9990660000000002
114,61791,1.9989209999999997,1.9997,1.9990660000000002
115,62571,1.9989660000000002,1.9997,1.9990660000000002
116,63383,1.998993,1.9997,1.9990660000000002
117,64196,1.998986,1.9997,1.9990660000000002
118,65014,1.99904,1.9997,1.9990660000000002
119,65820,1.9989309999999998,1.9997,1.9990660000000002
120,66628,1.9989690000000002,1.9997,1.9990660000000002
121,67450,1.9990740000000002,1.9997,1.9990740000000002
122,68245,1.998952,1.9997,1.9990740000000002
123,69063,1.999011,1.9997,1.9990740000000002
124,69873,1.9990049999999997,1.9997,1.9990740000000002
125,70690,1.998998,1.9997,1.9990740000000002
126,71508,1.999009,1.9997,1.9990740000000002
127,72309,1.999,1.9997,1.9990740000000002
128,73123,1.9989989999999997,1.9997,1.9990740000000002
129,73909,1.9989249999999998,1.9997,1.9990740000000002
130,74731,1.9990459999999999,1.9997,1.9990740000000002
131,75540,1.999,1.9997,1.9990740000000002
132,76360,1.9990279999999998,1.9997,1.9990740000000002
133,77178,1.998965,1.9997,1.9990740000000002
134,77969,1.978857,1.9997,1.9990740000000002
135,78789,1.9989909999999997,1.9997,1.9990740000000002
136,79596,1.9990169999999994,1.9997,1.9990740000000002
137,80413,1.9990610000000002,1.9997,1.9990740000000002
138,81217,1.9788599999999996,1.9997,1.9990740000000002
139,82045,1.9990249999999998,1.9997,1.9990740000000002
140,82855,1.9789160000000001,1.9997,1.9990740000000002
141,83647,1.9989839999999994,1.9997,1.9990740000000002
142,84442,1.9989000000000001,1.9997,1.9990740000000002
143,85230,1.9989519999999998,1.9997,1.9990740000000002
144,86009,1.9788960000000002,1.9997,1.9990740000000002
145,86802,1.9989830000000004,1.9997,1.9990740000000002
146,87632,1.9990250000000003,1.9997,1.9990740000000002
147,88413,1.9989990000000004,1.9997,1.9990740000000002
148,89232,1.9989430000000001,1.9997,1.9990740000000002
149,90061,1.999062,1.9997,1.9990740000000002
150,90873,1.978957,1.9997,1.9990740000000002
151,91692,1.9989989999999997,1.9997,1.9990740000000002
152,92511,1.9789050000000001,1.9997,1.9990740000000002
153,93315,1.9990660000000002,1.9997,1.9990740000000002
154,94131,1.9989700000000006,1.9997,1.9990740000000002
155,94940,1.9990379999999999,1.9997,1.9990740000000002
156,95775,1.9990480000000002,1.9997,1.9990740000000002
157,96586,1.998964,1.9997,1.9990740000000002
158,97402,1.999101,1.9997,1.999101
159,98193,1.9990250000000003,1.9997,1.999101
160,99000,1.9989770000000002,1.9997,1.999101
161,99811,1.9989839999999999,1.9997,1.999101
162,100617,1.9989319999999997,1.9997,1.999101
163,101427,1.9990239999999997,1.9997,1.999101
164,102269,1.9989789999999998,1.9997,1.999101
165,103108,1.9990669999999997,1.9997,1.999101
166,103913,1.9989430000000001,1.9997,1.999101
167,104737,1.998995,1.9997,1.999101
168,105545,1.999006,1.9997,1.999101
169,106367,1.9990140000000003,1.9997,1.999101
170,107197,1.999013,1.9997,1.999101
171,108056,1.9990429999999997,1.9997,1.999101
172,108879,1.998988,1.9997,1.999101
173,109696,1.9990260000000004,1.9997,1.999101
174,110518,1.9990130000000002,1.9997,1.999101
175,111334,1.9990780000000004,1.9997,1.999101
176,112179,1.9991089999999998,1.9997,1.9991089999999998
177,113014,1.9990279999999998,1.9997,1.9991089999999998
178,113842,1.9990080000000006,1.9997,1.9991089999999998
179,114644,1.9989249999999998,1.9997,1.9991089999999998
180,115452,1.9789050000000004,1.9997,1.9991089999999998
181,116270,1.9990440000000005,1.9997,1.9991089999999998
182,117101,1.9990590000000004,1.9997,1.9991089999999998
183,117921,1.999058,1.9997,1.9991089999999998
184,118719,1.9990330000000003,1.9997,1.9991089999999998
185,119547,1.9990269999999999,1.9997,1.9991089999999998
186,120370,1.9989289999999997,1.9997,1.9991089999999998
187,121202,1.9990549999999998,1.9997,1.9991089999999998
188,122049,1.9991130000000004,1.9997,1.9991130000000004
189,122894,1.9990080000000003,1.9997,1.9991130000000004
190,123717,1.9989960000000002,1.9997,1.9991130000000004
191,124521,1.978974,1.9997,1.9991130000000004
192,125364,1.9990109999999999,1.9997,1.9991130000000004
193,126158,1.9989830000000004,1.9997,1.9991130000000004
194,126980,1.998998,1.9997,1.9991130000000004
195,127827,1.999072,1.9997,1.9991130000000004
196,128669,1.9990410000000003,1.9997,1.9991130000000004
197,129493,1.9990249999999998,1.9997,1.9991130000000004
198,130320,1.999076,1.9997,1.9991130000000004
199,131160,1.9990549999999998,1.9997,1.9991130000000004
200,131977,1.998956,1.9997,1.9991130000000004
201,132807,1.9990020000000002,1.9997,1.9991130000000004
202,133650,1.9990139999999996,1.9997,1.9991130000000004
203,134475,1.998973,1.9997,1.9991130000000004
204,135306,1.9990740000000002,1.9997,1.9991130000000004
205,136140,1.999013,1.9997,1.9991130000000004
206,136981,1.998981,1.9997,1.9991130000000004
207,137811,1.998976,1.9997,1.9991130000000004
208,138666,1.999144,1.9997,1.999144
209,139506,1.9989870000000003,1.9997,1.999144
210,140342,1.9989949999999999,1.9997,1.999144
211,141166,1.9990860000000001,1.9997,1.999144
212,141995,1.9990160000000001,1.9997,1.999144
213,142832,1.9990670000000004,1.9997,1.999144
214,143661,1.9990240000000004,1.9997,1.999144
215,144491,1.999019,1.9997,1.999144
216,145282,1.9989490000000003,1.9997,1.999144
217,146093,1.9990359999999998,1.9997,1.999144
218,146929,1.998972,1.9997,1.999144
219,147748,1.998953,1.9997,1.999144
220,148585,1.9989850000000002,1.9997,1.999144
221,149402,1.9990589999999997,1.9997,1.999144
222,150229,1.9990180000000002,1.9997,1.999144
223,151029,1.9990420000000002,1.9997,1.999144
224,151831,1.9990470000000002,1.9997,1.999144
225,152657,1.9989329999999996,1.9997,1.999144
226,153460,1.998971,1.9997,1.999144
227,154281,1.9990589999999997,1.9997,1.999144
228,155122,1.9989840000000003,1.9997,1.999144
229,155948,1.999011,1.9997,1.999144
230,156774,1.9990910000000002,1.9997,1.999144
231,157590,1.9990949999999998,1.9997,1.999144
232,158430,1.9990450000000002,1.9997,1.999144
233,159238,1.978931,1.9997,1.999144
234,160059,1.998956,1.9997,1.999144
