iteration,episode,avg_score,best_avg_score,best_score
0,133,2.68,2.68
1,275,2.69,2.69
2,409,2.77,2.77
3,531,2.98,2.98
4,659,2.92,2.98
5,799,2.72,2.98
6,920,2.95,2.98
7,1045,2.99,2.99
8,1183,2.98,2.99
9,1315,2.78,2.99
10,1447,2.83,2.99
11,1581,3.11,3.11
12,1715,2.69,3.11
13,1850,2.64,3.11
14,1988,2.68,3.11
15,2120,2.67,3.11
16,2244,3.06,3.11
17,2377,2.88,3.11
18,2507,2.89,3.11
19,2634,2.73,3.11
20,2771,2.8,3.11
21,2902,3.01,3.11
22,3036,2.67,3.11
23,3178,2.73,3.11
24,3314,2.88,3.11
25,3459,2.71,3.11
26,3588,2.66,3.11
27,3730,2.61,3.11
28,3863,2.76,3.11
29,4000,2.8,3.11
30,4140,2.68,3.11
31,4270,3.06,3.11
32,4395,2.96,3.11
33,4521,2.92,3.11
34,4653,3.07,3.11
35,4784,2.91,3.11
36,4910,2.81,3.11
37,5043,2.88,3.11
38,5179,2.7,3.11
39,5315,2.79,3.11
40,5445,2.69,3.11
41,5566,3.15,3.15
42,5706,2.79,3.15
43,5829,2.95,3.15
44,5958,2.82,3.15
45,6097,2.76,3.15
46,6226,2.7,3.15
47,6369,2.87,3.15
48,6502,2.95,3.15
49,6649,2.64,3.15
50,6784,2.68,3.15
51,6922,2.79,3.15
52,7044,3.11,3.15
53,7173,2.97,3.15
54,7316,2.7,3.15
55,7443,2.94,3.15
56,7580,3.03,3.15
57,7717,2.85,3.15
58,7851,3.0,3.15
59,7990,3.07,3.15
60,8117,2.8,3.15
61,8253,2.54,3.15
62,8385,2.89,3.15
63,8513,2.67,3.15
64,8643,2.79,3.15
65,8787,2.4,3.15
66,8926,2.73,3.15
67,9058,2.75,3.15
68,9200,2.75,3.15
69,9331,3.09,3.15
70,9468,2.67,3.15
71,9595,2.73,3.15
72,9726,2.78,3.15
73,9857,2.83,3.15
74,9988,3.03,3.15
75,10117,2.83,3.15
76,10256,2.67,3.15
77,10393,2.97,3.15
78,10527,2.71,3.15
79,10647,3.16,3.16
80,10781,2.55,3.16
81,10912,2.87,3.16
82,11034,2.88,3.16
83,11168,2.83,3.16
84,11302,2.78,3.16
85,11434,2.77,3.16
86,11559,2.92,3.16
87,11693,2.84,3.16
88,11827,2.7,3.16
89,11963,2.56,3.16
90,12099,2.72,3.16
91,12236,2.65,3.16
92,12359,3.22,3.22
93,12489,3.0,3.22
94,12621,3.08,3.22
95,12758,2.66,3.22
96,12885,3.08,3.22
97,13009,2.87,3.22
98,13144,2.8,3.22
99,13269,2.99,3.22
100,13407,2.92,3.22
101,13543,2.72,3.22
102,13673,2.81,3.22
103,13814,3.01,3.22
104,13945,2.81,3.22
105,14080,2.76,3.22
106,14211,2.72,3.22
107,14344,2.73,3.22
108,14477,2.89,3.22
109,14607,2.66,3.22
110,14742,2.79,3.22
111,14867,2.74,3.22
112,14997,3.01,3.22
113,15138,2.54,3.22
114,15268,2.95,3.22
115,15407,2.67,3.22
116,15545,2.86,3.22
117,15678,2.85,3.22
118,15812,2.86,3.22
119,15943,2.78,3.22
120,16067,3.08,3.22
121,16202,3.09,3.22
122,16328,2.85,3.22
123,16446,2.95,3.22
124,16574,2.95,3.22
125,16713,2.68,3.22
126,16846,3.07,3.22
127,16979,2.85,3.22
128,17108,2.87,3.22
129,17251,2.95,3.22
130,17396,2.81,3.22
131,17514,3.06,3.22
132,17643,3.17,3.22
133,17779,2.83,3.22
134,17914,2.72,3.22
135,18047,2.68,3.22
136,18175,3.1,3.22
137,18305,2.98,3.22
138,18437,2.89,3.22
139,18569,2.68,3.22
140,18702,2.65,3.22
