iteration,episode,policy,value,entropy
66,2.73,-0.0018862355282180943,0.24386175302788615,-3.463632680475712
67,2.75,-0.0021457287984958384,0.23135320702567697,-3.4632981196045876
68,2.75,-0.0018166202207794413,0.24926167633384466,-3.4631397649645805
69,3.09,-0.001759977254550904,0.2309709694236517,-3.463394731283188
70,2.67,-0.0018866309910663404,0.2507980498485267,-3.463273301720619
71,2.73,-0.001640702917939052,0.22964121541008353,-3.463499963283539
72,2.78,-0.0014855498884571716,0.23636407870799303,-3.463925763964653
73,2.83,-0.0014671154494863003,0.2299240375868976,-3.463925063610077
74,3.03,-0.0017483992924098857,0.24299491150304675,-3.463739223778248
75,2.83,-0.0022027396771591157,0.23792061116546392,-3.4638125747442245
76,2.67,-0.0019645117135951295,0.23150644963607192,-3.4633439779281616
77,2.97,-0.0016490378038724884,0.2427188311703503,-3.463897004723549
78,2.71,-0.0017598243575775996,0.23653325298801064,-3.4636518955230713
79,3.16,-0.0019866548900608905,0.2221639845520258,-3.4632435515522957
80,2.55,-0.002053357518889243,0.23995759151875973,-3.463270366191864
81,2.87,-0.0019767969788517803,0.23542834864929318,-3.462858811020851
82,2.88,-0.0020953637722413987,0.22074840078130364,-3.4633099362254143
83,2.83,-0.0018748495203908533,0.24123843060806394,-3.463425949215889
84,2.78,-0.002607869821076747,0.227262610103935,-3.4626282453536987
85,2.77,-0.002068020010483451,0.23458773968741298,-3.462762713432312
86,2.92,-0.002798459681798704,0.21547966450452805,-3.4623782113194466
87,2.84,-0.0020218579957145266,0.2367377756163478,-3.4624751284718513
88,2.7,-0.0023355542580247857,0.236239701975137,-3.4622191786766052
89,2.56,-0.002059194252069574,0.23786320071667433,-3.4625292867422104
90,2.72,-0.0019484249351080507,0.24123775260522962,-3.4629108160734177
91,2.65,-0.0024930006766226143,0.23250889126211405,-3.4623828753829002
92,3.22,-0.0021377453740569763,0.2150166849605739,-3.463141404092312
93,3.0,-0.002580053682322614,0.21649893885478377,-3.462428316473961
94,3.08,-0.0021122691323398612,0.23974408861249685,-3.463074967265129
95,2.66,-0.002020335967245046,0.2441148846410215,-3.4632350355386734
96,3.08,-0.0021181772790441755,0.22196151735261083,-3.46298199146986
97,2.87,-0.0026815485471161082,0.22338591562584043,-3.46249657869339
98,2.8,-0.0026648263265087735,0.23722660029307008,-3.4623841047286987
99,2.99,-0.002589784468000289,0.2235421296209097,-3.462718188762665
100,2.92,-0.002338659753149841,0.2475522542372346,-3.462530203163624
101,2.72,-0.002343345753615722,0.23354816203936934,-3.4627776071429253
102,2.81,-0.0025964035012293607,0.2195077845826745,-3.462869107723236
103,3.01,-0.002522434944694396,0.23506556637585163,-3.4626389741897583
104,2.81,-0.00224663240078371,0.2256086440756917,-3.4629763662815094
105,2.76,-0.0020530378315015696,0.22860579565167427,-3.463121734559536
106,2.72,-0.0026263461622875184,0.20722773764282465,-3.4622639268636703
107,2.73,-0.0021693815433536656,0.24817141005769372,-3.4631238132715225
108,2.89,-0.0021946858178125694,0.19965401897206903,-3.463002569973469
109,2.66,-0.0021286571281962097,0.22070193476974964,-3.462818458676338
110,2.79,-0.002128789434209466,0.21955707436427474,-3.463020943105221
111,2.74,-0.0020031805761391297,0.22053936310112476,-3.4633106738328934
112,3.01,-0.0020657210261560977,0.21952610881999135,-3.463702566921711
113,2.54,-0.0018661389403860085,0.22856017155572772,-3.463758520781994
114,2.95,-0.002111035428242758,0.21607037773355842,-3.4637577906250954
115,2.67,-0.0023140656121540815,0.24541633063927293,-3.463402509689331
116,2.86,-0.0023332053533522412,0.25442751217633486,-3.463421456515789
117,2.85,-0.002060252161754761,0.23239538026973605,-3.4633783772587776
118,2.86,-0.002356129356485326,0.2406374355778098,-3.463393911719322
119,2.78,-0.002367484732531011,0.23591711139306426,-3.463049001991749
120,3.08,-0.002222901464847382,0.21674916986376047,-3.4629039764404297
121,3.09,-0.002309021365363151,0.24461740581318736,-3.4629392623901367
122,2.85,-0.002625721928779967,0.21968909772112966,-3.4625352397561073
123,2.95,-0.002839074637449812,0.21677308669313788,-3.462327741086483
124,2.95,-0.002735971866059117,0.23055599071085453,-3.4625413566827774
125,2.68,-0.003107244585407898,0.23813973600044847,-3.46200230717659
126,3.07,-0.003103668539552018,0.22798145283013582,-3.4620916843414307
127,2.85,-0.0028642163524637,0.22286361642181873,-3.462489515542984
128,2.87,-0.0032780466426629573,0.23172112833708525,-3.4622199535369873
129,2.95,-0.002922794345067814,0.24227744061499834,-3.4623387083411217
130,2.81,-0.0032540622087253723,0.2295512086711824,-3.4623870700597763
131,3.06,-0.0030035766103537753,0.20101800095289946,-3.4627589136362076
132,3.17,-0.003862319063046016,0.2126459889113903,-3.4618833884596825
133,2.83,-0.003290142194600776,0.2365457066334784,-3.4620854258537292
134,2.72,-0.0035419054838712327,0.2183282026089728,-3.462002709507942
135,2.68,-0.0036418847739696503,0.20075620105490088,-3.46194639056921
136,3.1,-0.0036909839982399717,0.21335719199851155,-3.4616654068231583
137,2.98,-0.003560979152098298,0.2066331640817225,-3.4620221108198166
138,2.89,-0.003228184152249014,0.22081800550222397,-3.4623623713850975
139,2.68,-0.0035130382821080275,0.20488264970481396,-3.461736299097538
140,2.65,-0.00393225482548587,0.23469319939613342,-3.461570553481579
